id,plu,category,commodity,variety,size,botanical,aka
445,3445,Fruits,APPLES,DS 3,All Sizes,Malus domestica,Pazazz
446,3446,Vegetables,KALE SPROUTS,,All Sizes,Brassica Oleracea,
447,3447,Fruits,APPLES,DS 22,All Sizes,Malus domestica,Riverbelle
448,3448,Fruits,CHERRIES,Tip Top,All Sizes,Prunus avium,Skylar Rae
449,3449,Fruits,GRAPES,Sugrathirteen,All Sizes,Vitis Vinifera I.,MIDNIGHT BEAUTY® brand
450,3450,Fruits,GRAPES,Sugranineteen,All Sizes,Vitis Vinifera I.,SCARLOTTA SEEDLESS® brand
451,3451,Fruits,GRAPES,Sugrathirtyfour,All Sizes,Vitis Vinifera,ADORA SEEDLESS® brand
452,3452,Fruits,GRAPES,Sugrathirtyfive,All Sizes,Vitis Vinifera,AUTUMNCRISP® brand
453,3453,Vegetables,GALANGAL ROOT,,All Sizes,Alpinia officinarum,
454,3454,Fruits,JACKFRUIT,Green,All Sizes,Artocarpus heterophylus,
455,3455,Fruits,JACKFRUIT,Yellow,All Sizes,Artocarpus heterophylus,
456,3456,Fruits,MELON,Winter,All Sizes,Cucumis melo,
457,3457,Fruits,PLUMS,President,All Sizes,Prunus spp.,
458,3458,Vegetables,TOMATOES,Cherry - Orange,All Sizes,Lycopersicon esculenta,
459,3600,Fruits,APPLES,Antares,All Sizes,Malus domestica,
460,3601,Fruits,APPLES,Huaguan,All Sizes,Malus domestica,Autumn Glory
461,3602,Fruits,APPLES,Belgica,All Sizes,Malus domestica,
462,3603,Fruits,APPLES,Minneiska,All Sizes,Malus domestica,
463,3604,Fruits,APPLES,Emmons,All Sizes,Malus domestica,
464,3605,Fruits,APPLES,Nicoter,All Sizes,Malus domestica,
465,3606,Fruits,PEARS,Sweet Sensation,All Sizes,Pyrus spp.,
466,3607,Fruits,APPLES,Mariri Red,All Sizes,Malus domestica,
467,3608,Fruits,APPLES,Sciros,Large,Malus domestica,Pacific Rose
468,3609,Fruits,PLUMCOT (INTERSPECIFIC PLUM),Red,All Sizes,Prunus spp.,
469,3610,Fruits,PLUMCOT (INTERSPECIFIC PLUM),Green,All Sizes,Prunus spp.,
470,3611,Fruits,PLUMCOT (INTERSPECIFIC PLUM),Black,All Sizes,Prunus spp.,
471,3612,Fruits,APPLES,Nicogreen,All Sizes,Malus domestica,
472,3613,Fruits,APPLES,Fuji Brak,All Sizes,Malus domestica,
473,3614,Fruits,APRICOTS,Red,All Sizes,Prunus armeniaca,
474,3615,Fruits,APPLES,Civni,All Sizes,Malus domestica,
475,3616,Fruits,APPLES,Scilate,Large,Malus domestica,ENVY
476,3617,Fruits,LEMONS,Seedless,All Sizes,,
